num samples: 5000
NUM_TRAIN_SAMPLES: 4999
NUM_TRAIN_BATCHES: 50
NUM_TEST_SAMPLES: 4999
NUM_TEST_BATCHES: 50
BATCH_SIZE: 100
HIDDEN_SIZE: 128
NUM_DYN_EPOCHS: 40
IS_CONTINUOUS: False
USE_MAX: False
../data/final/netrd/SIS/timeseries_ba10_5k_0.15.pickle
../data/final/edges_ba10.pickle
CONTINUATION: False
CONT_ADDRESS: D:\Uni\BA\ColabOutputs\ba20\2020-12-10T22_50_22.113418
SEED: 0
NUM_DYN_EPOCHS: 40
NUM_DYN_EPOCHS_INIT: 40
DETECT_EARLY_CONVERGENCE: False
RESET_DYN_LEARNER_EVERY_NTH_GEN: 1
POP_SIZE: 10
NEWPOP_SIZE: 40
NUM_GEN: 45
USE_NODEWISE_EVALUATION: False
USE_EVALEPOCH_FOR_GUIDED_MUTATION: False
USE_DETERMINISTIC_EVAL: False
--------------------- Start training ------------------------
evaluating individudal 0 - c991f7e4d2dd6f24. Mean loss in evaluation epoch: 0.38539478182792664, epochs needed: 40
evaluating individudal 37 - 2e558911ce2deaaf. Mean loss in evaluation epoch: 0.38273265957832336, epochs needed: 40
evaluating individudal 38 - 23c6d2ca43973992. Mean loss in evaluation epoch: 0.3849807679653168, epochs needed: 40
evaluating individudal 39 - 2a74421b7ea6bc4f. Mean loss in evaluation epoch: 0.383377343416214, epochs needed: 40
evaluating individudal 0 - c991f7e4d2dd6f24. Mean loss in evaluation epoch: 0.38588598370552063, epochs needed: 40
evaluating individudal 1 - 8b00a6ece076a208. Mean loss in evaluation epoch: 0.38192448019981384, epochs needed: 40
evaluating individudal 2 - 5953d1fb95930a92. Mean loss in evaluation epoch: 0.38682541251182556, epochs needed: 40
evaluating individudal 3 - f1b19bd2c9e7af86. Mean loss in evaluation epoch: 0.3889712393283844, epochs needed: 40
evaluating individudal 4 - ecb05e51c66ad061. Mean loss in evaluation epoch: 0.38583967089653015, epochs needed: 40
evaluating individudal 5 - b18f9d0d6875509a. Mean loss in evaluation epoch: 0.38711977005004883, epochs needed: 40
evaluating individudal 6 - f928c1e0b8fd4643. Mean loss in evaluation epoch: 0.3878956437110901, epochs needed: 40
evaluating individudal 7 - ff30c51e1e76bd04. Mean loss in evaluation epoch: 0.3864741325378418, epochs needed: 40
evaluating individudal 8 - 42134797ccdf0a92. Mean loss in evaluation epoch: 0.3897203505039215, epochs needed: 40
evaluating individudal 9 - 96b2dff63632cc4a. Mean loss in evaluation epoch: 0.3836061358451843, epochs needed: 40
Round 1 done. -----------------------------------------
------------------------- TRACKING ---------------------------
Matrix Hash: decba815dc636b93, num_times_seen_before: 0
ACC: 0.5555555555555556
TPR/FPR: 0.375, 0.3448275862068966
Loss: 0.380368173122406
Timestamp: 536.3558348980005
---------------------------------------------------------------
evaluating individudal 0 - eb716c3fe63f2b19. Mean loss in evaluation epoch: 0.3799605071544647, epochs needed: 40
evaluating individudal 1 - 106ec41a6edd7380. Mean loss in evaluation epoch: 0.382673054933548, epochs needed: 40
evaluating individudal 2 - 88ec027ee0143bff. Mean loss in evaluation epoch: 0.3838467299938202, epochs needed: 40
evaluating individudal 3 - dde0af1c4079a52d. Mean loss in evaluation epoch: 0.38426193594932556, epochs needed: 40
evaluating individudal 4 - 9db1710383311f82. Mean loss in evaluation epoch: 0.3837908208370209, epochs needed: 40
evaluating individudal 5 - b206502f8a1c74f3. Mean loss in evaluation epoch: 0.3806690573692322, epochs needed: 40
evaluating individudal 6 - fa9d427a2eebc314. Mean loss in evaluation epoch: 0.38337424397468567, epochs needed: 40
evaluating individudal 7 - 7d908e11cef63b70. Mean loss in evaluation epoch: 0.38816115260124207, epochs needed: 40
evaluating individudal 8 - 6193175ed0902b18. Mean loss in evaluation epoch: 0.3828622102737427, epochs needed: 40
evaluating individudal 9 - ce2c4e1745e2f217. Mean loss in evaluation epoch: 0.3840547502040863, epochs needed: 40
evaluating individudal 10 - b5f36c4b06dd3339. Mean loss in evaluation epoch: 0.3832705616950989, epochs needed: 40
evaluating individudal 11 - 2e5b06d04e6713c5. Mean loss in evaluation epoch: 0.3822943866252899, epochs needed: 40
evaluating individudal 12 - 7595971cbb3941e5. Mean loss in evaluation epoch: 0.383146196603775, epochs needed: 40
evaluating individudal 13 - 0eb509b1b7dd4dfc. Mean loss in evaluation epoch: 0.3854202926158905, epochs needed: 40
evaluating individudal 14 - 84cddcca66d015e0. Mean loss in evaluation epoch: 0.38211867213249207, epochs needed: 40
evaluating individudal 15 - 565e62f58af3c919. Mean loss in evaluation epoch: 0.38417601585388184, epochs needed: 40
evaluating individudal 16 - 6db28bd527bbdf7e. Mean loss in evaluation epoch: 0.38298743963241577, epochs needed: 40
evaluating individudal 17 - c2d99caca0a6f0df. Mean loss in evaluation epoch: 0.38371577858924866, epochs needed: 40
evaluating individudal 18 - a163c5ade485a7b2. Mean loss in evaluation epoch: 0.38434600830078125, epochs needed: 40
evaluating individudal 19 - ad7eae8311612f93. Mean loss in evaluation epoch: 0.3853009045124054, epochs needed: 40
evaluating individudal 20 - cc932e61ac22a256. Mean loss in evaluation epoch: 0.3832438588142395, epochs needed: 40
evaluating individudal 21 - 9b7ebce88e433dac. Mean loss in evaluation epoch: 0.38065773248672485, epochs needed: 40
evaluating individudal 22 - 0fa4abe87a7d87f3. Mean loss in evaluation epoch: 0.3823715150356293, epochs needed: 40
evaluating individudal 23 - 4a2c8ce9fa6f402c. Mean loss in evaluation epoch: 0.38537052273750305, epochs needed: 40
evaluating individudal 24 - 98ef0a7c01ed23a4. Mean loss in evaluation epoch: 0.38188934326171875, epochs needed: 40
evaluating individudal 25 - fe834fc21ee324fd. Mean loss in evaluation epoch: 0.38182416558265686, epochs needed: 40
evaluating individudal 26 - 63a3687174e46898. Mean loss in evaluation epoch: 0.3834795355796814, epochs needed: 40
evaluating individudal 27 - bdd7a932baca25b3. Mean loss in evaluation epoch: 0.3807877004146576, epochs needed: 40
evaluating individudal 28 - be56e43d922452e7. Mean loss in evaluation epoch: 0.38326308131217957, epochs needed: 40
evaluating individudal 29 - 8ec35905980ea7e8. Mean loss in evaluation epoch: 0.3815302550792694, epochs needed: 40
evaluating individudal 30 - e52260710311dcbe. Mean loss in evaluation epoch: 0.3825758397579193, epochs needed: 40
evaluating individudal 31 - f8cb7f3355cb2117. Mean loss in evaluation epoch: 0.38099542260169983, epochs needed: 40
evaluating individudal 32 - dfc434c4bdcc9613. Mean loss in evaluation epoch: 0.38134998083114624, epochs needed: 40
evaluating individudal 33 - 44b44e4f139b0c5f. Mean loss in evaluation epoch: 0.385668009519577, epochs needed: 40
evaluating individudal 34 - b8509b9c90b85b8a. Mean loss in evaluation epoch: 0.3814551830291748, epochs needed: 40
evaluating individudal 35 - d53bd5fefc507053. Mean loss in evaluation epoch: 0.37953639030456543, epochs needed: 40
evaluating individudal 36 - 36c93bb4cea7fcc2. Mean loss in evaluation epoch: 0.38428667187690735, epochs needed: 40
evaluating individudal 37 - 65b75d54986dd5dc. Mean loss in evaluation epoch: 0.3829304277896881, epochs needed: 40
evaluating individudal 38 - 7f2e19be211ecc97. Mean loss in evaluation epoch: 0.3831178843975067, epochs needed: 40
evaluating individudal 39 - 165cdaccfaca0956. Mean loss in evaluation epoch: 0.38387027382850647, epochs needed: 40
evaluating individudal 0 - decba815dc636b93. Mean loss in evaluation epoch: 0.38038501143455505, epochs needed: 40
evaluating individudal 1 - a2ea94f264ea52cd. Mean loss in evaluation epoch: 0.38100263476371765, epochs needed: 40
evaluating individudal 2 - 3cc95318c3a51ee1. Mean loss in evaluation epoch: 0.3816615641117096, epochs needed: 40
evaluating individudal 3 - a65b43bdc57c0c71. Mean loss in evaluation epoch: 0.38048937916755676, epochs needed: 40
evaluating individudal 4 - 6356ac9baa55696f. Mean loss in evaluation epoch: 0.3819766938686371, epochs needed: 40
evaluating individudal 5 - 8b00a6ece076a208. Mean loss in evaluation epoch: 0.3821047246456146, epochs needed: 40
evaluating individudal 6 - 641cf6b92c3e054d. Mean loss in evaluation epoch: 0.38278692960739136, epochs needed: 40
evaluating individudal 7 - 443aa0bf38b619cb. Mean loss in evaluation epoch: 0.3823355436325073, epochs needed: 40
evaluating individudal 8 - 937aa33e30279781. Mean loss in evaluation epoch: 0.38305777311325073, epochs needed: 40
evaluating individudal 9 - d009685c6fadebeb. Mean loss in evaluation epoch: 0.38307952880859375, epochs needed: 40
Round 2 done. -----------------------------------------
------------------------- TRACKING ---------------------------
Matrix Hash: d53bd5fefc507053, num_times_seen_before: 0
ACC: 0.6666666666666667
TPR/FPR: 0.75, 0.3793103448275862
Loss: 0.37953639030456543
Timestamp: 1055.2722513180051
---------------------------------------------------------------
evaluating individudal 0 - 23806e71e92445df. Mean loss in evaluation epoch: 0.3797234892845154, epochs needed: 40
evaluating individudal 1 - cfdad3d019c07267. Mean loss in evaluation epoch: 0.38469579815864563, epochs needed: 40
evaluating individudal 2 - 0dd7850e3d7204ed. Mean loss in evaluation epoch: 0.37872135639190674, epochs needed: 40
evaluating individudal 3 - cdb7a83bcbcbfb08. Mean loss in evaluation epoch: 0.37663617730140686, epochs needed: 40
evaluating individudal 4 - d65203823dce8d59. Mean loss in evaluation epoch: 0.3797730505466461, epochs needed: 40
evaluating individudal 5 - 54ba178584c8d6f5. Mean loss in evaluation epoch: 0.37943053245544434, epochs needed: 40
evaluating individudal 6 - 874667b1f6d2dcfd. Mean loss in evaluation epoch: 0.38023680448532104, epochs needed: 40
evaluating individudal 7 - 0627fdaf25cce8e0. Mean loss in evaluation epoch: 0.38315829634666443, epochs needed: 40
evaluating individudal 8 - aabc0ad0491f1859. Mean loss in evaluation epoch: 0.38246238231658936, epochs needed: 40
evaluating individudal 9 - 680caf26fb270394. Mean loss in evaluation epoch: 0.3802179992198944, epochs needed: 40
evaluating individudal 10 - 846836cc25bd6306. Mean loss in evaluation epoch: 0.37989601492881775, epochs needed: 40
evaluating individudal 11 - d55c6ca6116b521e. Mean loss in evaluation epoch: 0.38293352723121643, epochs needed: 40
evaluating individudal 12 - 6bbe8d4eef93d020. Mean loss in evaluation epoch: 0.37890028953552246, epochs needed: 40
evaluating individudal 13 - 9766c6790d0d91e0. Mean loss in evaluation epoch: 0.3787589967250824, epochs needed: 40
evaluating individudal 14 - 874de7e3924065af. Mean loss in evaluation epoch: 0.38122862577438354, epochs needed: 40
evaluating individudal 15 - 83e1aa045eeec749. Mean loss in evaluation epoch: 0.3758606016635895, epochs needed: 40
evaluating individudal 16 - 26824d34f7fbd7af. Mean loss in evaluation epoch: 0.38060492277145386, epochs needed: 40
evaluating individudal 17 - af81264ac0ce682c. Mean loss in evaluation epoch: 0.38387545943260193, epochs needed: 40
evaluating individudal 18 - d78df52944fccbcc. Mean loss in evaluation epoch: 0.38026830554008484, epochs needed: 40
evaluating individudal 19 - 47247392d9bb9d42. Mean loss in evaluation epoch: 0.3820261061191559, epochs needed: 40
evaluating individudal 20 - 7cdcf1e70914adac. Mean loss in evaluation epoch: 0.3781859576702118, epochs needed: 40
evaluating individudal 21 - 8503f9b64a765145. Mean loss in evaluation epoch: 0.3814987242221832, epochs needed: 40
evaluating individudal 22 - f758dc91cb62d86f. Mean loss in evaluation epoch: 0.3809940218925476, epochs needed: 40
evaluating individudal 23 - bcbb3a11d9e27542. Mean loss in evaluation epoch: 0.38105353713035583, epochs needed: 40
evaluating individudal 24 - e0a991e0220cae41. Mean loss in evaluation epoch: 0.3810027241706848, epochs needed: 40
evaluating individudal 25 - 4cfd86c334162c71. Mean loss in evaluation epoch: 0.3820864260196686, epochs needed: 40
evaluating individudal 26 - a45c04d3a9b47387. Mean loss in evaluation epoch: 0.3847283720970154, epochs needed: 40
evaluating individudal 27 - c30cc1b7bc0c6b9d. Mean loss in evaluation epoch: 0.382329523563385, epochs needed: 40
evaluating individudal 28 - 52ef8a797b3ceaa0. Mean loss in evaluation epoch: 0.38356202840805054, epochs needed: 40
evaluating individudal 29 - 8772d05d92ba152c. Mean loss in evaluation epoch: 0.3777628242969513, epochs needed: 40
evaluating individudal 30 - dd60acddee6051dd. Mean loss in evaluation epoch: 0.381519079208374, epochs needed: 40
evaluating individudal 31 - 91521fb123b1be59. Mean loss in evaluation epoch: 0.3782484829425812, epochs needed: 40
evaluating individudal 32 - c69724464c6c5dd5. Mean loss in evaluation epoch: 0.38280829787254333, epochs needed: 40
evaluating individudal 33 - 4d4d22eb0dc90fbc. Mean loss in evaluation epoch: 0.3806370496749878, epochs needed: 40
evaluating individudal 34 - 1bec8e318723620d. Mean loss in evaluation epoch: 0.37920886278152466, epochs needed: 40
evaluating individudal 35 - 1febcf085be7acf0. Mean loss in evaluation epoch: 0.38030585646629333, epochs needed: 40
evaluating individudal 36 - da13782344500aee. Mean loss in evaluation epoch: 0.37793922424316406, epochs needed: 40
evaluating individudal 37 - 720b27f2b181baa1. Mean loss in evaluation epoch: 0.37898674607276917, epochs needed: 40
evaluating individudal 38 - 44e268fc80d4fa6f. Mean loss in evaluation epoch: 0.3796130418777466, epochs needed: 40
evaluating individudal 39 - a0a4a4f4402a497f. Mean loss in evaluation epoch: 0.37881749868392944, epochs needed: 40
evaluating individudal 0 - d53bd5fefc507053. Mean loss in evaluation epoch: 0.379730761051178, epochs needed: 40
evaluating individudal 1 - eb716c3fe63f2b19. Mean loss in evaluation epoch: 0.379973441362381, epochs needed: 40
evaluating individudal 2 - decba815dc636b93. Mean loss in evaluation epoch: 0.3809789717197418, epochs needed: 40
evaluating individudal 3 - a65b43bdc57c0c71. Mean loss in evaluation epoch: 0.38360610604286194, epochs needed: 40
evaluating individudal 4 - 9b7ebce88e433dac. Mean loss in evaluation epoch: 0.38172659277915955, epochs needed: 40
evaluating individudal 5 - b206502f8a1c74f3. Mean loss in evaluation epoch: 0.3820785880088806, epochs needed: 40
evaluating individudal 6 - bdd7a932baca25b3. Mean loss in evaluation epoch: 0.3803456723690033, epochs needed: 40
evaluating individudal 7 - f8cb7f3355cb2117. Mean loss in evaluation epoch: 0.38106203079223633, epochs needed: 40
evaluating individudal 8 - a2ea94f264ea52cd. Mean loss in evaluation epoch: 0.381515771150589, epochs needed: 40
evaluating individudal 9 - dfc434c4bdcc9613. Mean loss in evaluation epoch: 0.38152259588241577, epochs needed: 40
Round 3 done. -----------------------------------------
------------------------- TRACKING ---------------------------
Matrix Hash: 83e1aa045eeec749, num_times_seen_before: 0
ACC: 0.7777777777777778
TPR/FPR: 0.875, 0.27586206896551724
Loss: 0.3758606016635895
Timestamp: 1580.9800807809952
---------------------------------------------------------------
evaluating individudal 0 - 854cb6ed221447d1. Mean loss in evaluation epoch: 0.37853896617889404, epochs needed: 40
evaluating individudal 1 - f0f4467dfffb26d7. Mean loss in evaluation epoch: 0.37763598561286926, epochs needed: 40
evaluating individudal 2 - 7a3f177aeb3584d9. Mean loss in evaluation epoch: 0.3805522322654724, epochs needed: 40
evaluating individudal 3 - 81665a727ccf6397. Mean loss in evaluation epoch: 0.380447655916214, epochs needed: 40
evaluating individudal 4 - 0d892eb3e03decfd. Mean loss in evaluation epoch: 0.37758955359458923, epochs needed: 40
evaluating individudal 5 - 3e53d5ed006703b1. Mean loss in evaluation epoch: 0.38265329599380493, epochs needed: 40
evaluating individudal 6 - 7df7e1e7ab04c877. Mean loss in evaluation epoch: 0.3780084550380707, epochs needed: 40
evaluating individudal 7 - a94a6e771dbc9ee4. Mean loss in evaluation epoch: 0.37797102332115173, epochs needed: 40
evaluating individudal 8 - 96c953230314589e. Mean loss in evaluation epoch: 0.38041701912879944, epochs needed: 40
evaluating individudal 9 - 167508af8e0c0711. Mean loss in evaluation epoch: 0.37659361958503723, epochs needed: 40
evaluating individudal 10 - f99659a86333ad7b. Mean loss in evaluation epoch: 0.3769434988498688, epochs needed: 40
evaluating individudal 11 - 4b38fa5ac3dc2d74. Mean loss in evaluation epoch: 0.3779855966567993, epochs needed: 40
evaluating individudal 12 - 69d8ce3e9344d05f. Mean loss in evaluation epoch: 0.3787022829055786, epochs needed: 40
evaluating individudal 13 - 0380d84d20a449c2. Mean loss in evaluation epoch: 0.3776615858078003, epochs needed: 40
evaluating individudal 14 - f31d88375abf994e. Mean loss in evaluation epoch: 0.37815603613853455, epochs needed: 40
evaluating individudal 15 - 9414380ca98a3b85. Mean loss in evaluation epoch: 0.3794938623905182, epochs needed: 40
evaluating individudal 16 - 20af66bed4c881fc. Mean loss in evaluation epoch: 0.377155065536499, epochs needed: 40
evaluating individudal 17 - 2fedd273c0474c95. Mean loss in evaluation epoch: 0.37564268708229065, epochs needed: 40
evaluating individudal 18 - 6f1865e4f7e301fb. Mean loss in evaluation epoch: 0.3844136595726013, epochs needed: 40
evaluating individudal 19 - 50fcfb5f40d3cd16. Mean loss in evaluation epoch: 0.37834030389785767, epochs needed: 40
evaluating individudal 20 - 85bd35404dfb1a3a. Mean loss in evaluation epoch: 0.3774203360080719, epochs needed: 40
evaluating individudal 21 - 405d852f734e14c9. Mean loss in evaluation epoch: 0.3802731931209564, epochs needed: 40
evaluating individudal 22 - 495d4cd492c786de. Mean loss in evaluation epoch: 0.3821685016155243, epochs needed: 40
evaluating individudal 23 - 734bbfa931343149. Mean loss in evaluation epoch: 0.3790285885334015, epochs needed: 40
evaluating individudal 24 - 22654f7adf67a8f9. Mean loss in evaluation epoch: 0.3815288841724396, epochs needed: 40
evaluating individudal 25 - c0c38392f608062e. Mean loss in evaluation epoch: 0.38056081533432007, epochs needed: 40
evaluating individudal 26 - ad5f7ede72747a64. Mean loss in evaluation epoch: 0.38026121258735657, epochs needed: 40
evaluating individudal 27 - 8e7296baaf60bde0. Mean loss in evaluation epoch: 0.3834039270877838, epochs needed: 40
evaluating individudal 28 - 2332202e8dff6777. Mean loss in evaluation epoch: 0.3782213628292084, epochs needed: 40
evaluating individudal 29 - a3211941cd35c8b3. Mean loss in evaluation epoch: 0.3756636381149292, epochs needed: 40
evaluating individudal 30 - 8e1d2041b5fca7ec. Mean loss in evaluation epoch: 0.38019248843193054, epochs needed: 40
evaluating individudal 31 - 3f250ce8a8b997b7. Mean loss in evaluation epoch: 0.3774018883705139, epochs needed: 40
evaluating individudal 32 - d795f409985f5fe3. Mean loss in evaluation epoch: 0.3843167722225189, epochs needed: 40
evaluating individudal 33 - ea930064a48abf79. Mean loss in evaluation epoch: 0.37677663564682007, epochs needed: 40
evaluating individudal 34 - 2bd9e457cafd821c. Mean loss in evaluation epoch: 0.37921974062919617, epochs needed: 40
evaluating individudal 35 - fcb6997f381cb596. Mean loss in evaluation epoch: 0.3791210353374481, epochs needed: 40
evaluating individudal 36 - fdade4bfd3e9d6a1. Mean loss in evaluation epoch: 0.38161030411720276, epochs needed: 40
evaluating individudal 37 - ee47da38663c5b09. Mean loss in evaluation epoch: 0.37762176990509033, epochs needed: 40
evaluating individudal 38 - 91b83a813929b584. Mean loss in evaluation epoch: 0.3802962899208069, epochs needed: 40
evaluating individudal 39 - e4b07e63016b12a2. Mean loss in evaluation epoch: 0.38221731781959534, epochs needed: 40
evaluating individudal 0 - 83e1aa045eeec749. Mean loss in evaluation epoch: 0.37602439522743225, epochs needed: 40
evaluating individudal 1 - cdb7a83bcbcbfb08. Mean loss in evaluation epoch: 0.3770572543144226, epochs needed: 40
evaluating individudal 2 - 8772d05d92ba152c. Mean loss in evaluation epoch: 0.37749916315078735, epochs needed: 40
evaluating individudal 3 - da13782344500aee. Mean loss in evaluation epoch: 0.37630695104599, epochs needed: 40
evaluating individudal 4 - 7cdcf1e70914adac. Mean loss in evaluation epoch: 0.3782278001308441, epochs needed: 40
evaluating individudal 5 - 91521fb123b1be59. Mean loss in evaluation epoch: 0.37829840183258057, epochs needed: 40
evaluating individudal 6 - 0dd7850e3d7204ed. Mean loss in evaluation epoch: 0.38058406114578247, epochs needed: 40
evaluating individudal 7 - 9766c6790d0d91e0. Mean loss in evaluation epoch: 0.3790922462940216, epochs needed: 40
evaluating individudal 8 - a0a4a4f4402a497f. Mean loss in evaluation epoch: 0.3785591125488281, epochs needed: 40
evaluating individudal 9 - 6bbe8d4eef93d020. Mean loss in evaluation epoch: 0.37926962971687317, epochs needed: 40
Round 4 done. -----------------------------------------
------------------------- TRACKING ---------------------------
Matrix Hash: 2fedd273c0474c95, num_times_seen_before: 0
ACC: 0.7333333333333334
TPR/FPR: 1.0, 0.41379310344827586
Loss: 0.37564268708229065
Timestamp: 2068.0834265439917
---------------------------------------------------------------
evaluating individudal 0 - ce6c2d52843ef180. Mean loss in evaluation epoch: 0.3812999725341797, epochs needed: 40
evaluating individudal 1 - 0c284d6b40699973. Mean loss in evaluation epoch: 0.3789292573928833, epochs needed: 40
evaluating individudal 2 - f7e8dd4c243de1d8. Mean loss in evaluation epoch: 0.38025200366973877, epochs needed: 40
evaluating individudal 3 - c86d32f847a81d87. Mean loss in evaluation epoch: 0.3804911971092224, epochs needed: 40
evaluating individudal 4 - c0a2f3b0e5369044. Mean loss in evaluation epoch: 0.3815944492816925, epochs needed: 40
evaluating individudal 5 - 901f0db93ec0cc1f. Mean loss in evaluation epoch: 0.3791525065898895, epochs needed: 40
evaluating individudal 6 - 8dd41ef7df3ca3c8. Mean loss in evaluation epoch: 0.375803679227829, epochs needed: 40
evaluating individudal 7 - 44a02181c757f01f. Mean loss in evaluation epoch: 0.3781297504901886, epochs needed: 40
